boosting_iteration,validation_mse
1,15.783506128646431
2,15.106951229140163
3,14.467619415834545
4,13.87122234068811
5,13.306260704221202
6,12.75495202076435
7,12.25460671011335
8,11.77709177989299
9,11.324818012356173
10,10.881350811949998
11,10.47908113079093
12,10.088733353194046
13,9.710377229646603
14,9.355132914098592
15,9.031418301427504
16,8.7332332836946
17,8.422482979008143
18,8.128788683140119
19,7.8402465846378515
20,7.5855609539446975
21,7.349716925401603
22,7.111756924606831
23,6.894800715163291
24,6.682227469067076
25,6.506652583947379
26,6.32907121180999
27,6.150625856174156
28,5.977235668326146
29,5.811858936851947
30,5.660075460326829
31,5.514161489302344
32,5.380057841109284
33,5.2723455098799725
34,5.151268262011797
35,5.01861081695184
36,4.902491494220697
37,4.7975482776579605
38,4.698206732383302
39,4.600736086369459
40,4.50554937398502
41,4.4283159258765
42,4.350487454541086
43,4.272879246901015
44,4.193334157647844
45,4.120242139361071
46,4.050464442700302
47,3.9873645080537905
48,3.9238380184840063
49,3.8673510945940945
50,3.821322411518897
51,3.76962479727155
52,3.723457525092294
53,3.6769238439116596
54,3.628165742801175
55,3.5833784905286588
56,3.5410962691273125
57,3.507858827521857
58,3.470907100828675
59,3.439806317359493
60,3.4084255085040858
61,3.374680999209459
62,3.3419520374191998
63,3.312955735022173
64,3.282424499374618
65,3.2569152173588294
66,3.232352365325394
67,3.206064190542224
68,3.1818987913354064
69,3.163677925293683
70,3.145141645566353
71,3.128390366681138
72,3.108512756160251
73,3.091571470694551
74,3.0725020081512406
75,3.0567831778682666
76,3.0406781284337927
77,3.0267054692990136
78,3.0129507006934855
79,3.0027935011067384
80,2.9871525780712544
81,2.975704616072129
82,2.9629417826161664
83,2.9521238873858584
84,2.94270091619981
85,2.9316712519430492
86,2.921730976107712
87,2.9142592501147884
88,2.906333458109915
89,2.8974140756570748
90,2.8869982784947847
91,2.8793328941328706
92,2.871100453003242
93,2.865846641542744
94,2.858205973434728
95,2.8519172568661664
96,2.844423352252648
97,2.8374373072771464
98,2.8307359781484465
99,2.8266330506489528
100,2.821353724464039
101,2.8173757302958062
102,2.8140310113477462
103,2.8082550242522846
104,2.8045402167356297
105,2.7983013470436533
106,2.7927559579078407
107,2.789522915765716
108,2.7870744034019594
109,2.782122131180833
110,2.779723204085095
111,2.7773725276881707
112,2.773772813319165
113,2.772490056356146
114,2.7682130175460298
115,2.765853873881407
116,2.7626956325080316
117,2.7596960696188635
118,2.756149003288396
119,2.7553348366454156
120,2.7515396184866896
121,2.750042240652625
122,2.748217258168221
123,2.7464884584110933
124,2.743160712295432
125,2.740336956088732
126,2.7409912224684976
127,2.7385711097457843
128,2.7381071596139464
129,2.7373597871086974
130,2.7364099697009876
131,2.7347236062085596
132,2.7343623953257485
133,2.7341216399431434
134,2.731207067537057
135,2.7309024324205255
136,2.7280776329473464
137,2.7280467494149816
138,2.726988821696403
139,2.725869410472156
140,2.725209022967958
141,2.724861163407018
142,2.7237853509837264
143,2.7217156917346697
144,2.720685691580413
145,2.719986200225008
146,2.719843838139235
147,2.7181234570910147
148,2.7174471488872407
149,2.7155092775197884
150,2.7155918492555684
151,2.714253511026456
152,2.712762199494931
153,2.7124887610214596
154,2.7125337627642554
155,2.7120126682021963
156,2.711518433175281
157,2.7116330307868686
158,2.7102341262623484
159,2.7089615161412386
160,2.7085176115580833
161,2.7084583969591822
162,2.7086195106909603
163,2.708481890799236
164,2.7086466733466112
165,2.7076165397752296
166,2.7067188273701337
167,2.7052382384355167
168,2.703652392898781
169,2.7038759648636623
170,2.703089846509878
171,2.700837172335827
172,2.70119911856272
173,2.69958227396282
174,2.6994157453484515
175,2.6983107971639564
176,2.6971155856096756
177,2.69747484215286
178,2.6964912500256086
179,2.6971257922278036
180,2.697728503927923
181,2.698453113342654
182,2.6977850487212347
183,2.6983550167419796
184,2.699360690893924
185,2.699041665345662
186,2.6979773481604954
187,2.696913207317311
188,2.6976997283282453
189,2.696491738116192
190,2.6940583041782684
191,2.695055172124104
192,2.6956637751900328
193,2.6951194025842904
194,2.693724000542321
195,2.694263494477147
196,2.6932435923628875
197,2.6921282047040846
198,2.691496147155134
199,2.6922473755002043
200,2.6907777541214
201,2.69110144783338
202,2.6909797343955417
203,2.6924686218234326
204,2.6923105801168115
205,2.6912819545547215
206,2.6909754011115687
207,2.690400594531642
208,2.6896208214637354
209,2.690307720473622
210,2.690585777993323
211,2.689846198368021
212,2.6892617481569467
213,2.688788819612186
214,2.6886248570656135
215,2.687903768929748
216,2.6872355502340013
217,2.6868415046155563
218,2.6862288462284667
219,2.686377693584223
220,2.6871908571068692
221,2.686740057160674
222,2.6872728031258646
223,2.686370317988585
224,2.68549153167843
225,2.68458686415734
226,2.684320962781119
227,2.684270148111847
228,2.684783509851233
229,2.6842339619475313
230,2.683947261589268
231,2.684532015093006
232,2.684421742030094
233,2.6834165783423485
234,2.684662589675758
235,2.684011829345329
236,2.68352347597773
237,2.684182278793647
238,2.6858157368333595
239,2.6852988478740754
240,2.685059624755322
241,2.685021833964684
242,2.684139519865852
243,2.6840943198816456
244,2.6832186999619534
245,2.68327413970043
246,2.6833824991757593
247,2.683216686312764
248,2.6830979940547985
249,2.6825406375747787
250,2.6821908231422382
