target,mae_mean_mean,rmse_mean_mean,r2_mean_mean,mae_mean_persistence,rmse_mean_persistence,r2_mean_persistence
next_cycle_length,2.7447,3.8407,-0.0008,1.3023,1.987,0.7319
next_period_length,1.0302,1.2791,-0.0004,0.6332,0.8913,0.5142
